DIARIO;NUM_OBRA;NUM_LINHA;DESCRICAO
ORE;20966,000000;1,000000;Preparação para entrega
ORE;21643,000000;1,000000;Revisão das 3500 horas c/lub
ORE;22727,000000;2,000000;Taxa Deslocação Viseu
ORE;22727,000000;1,000000;Analisar fuga de gasóleo
ORE;22826,000000;1,000000;1ª Revisão das 250 horas c/lub
ORE;22946,000000;2,000000;Colar vidro lateral da cabina
ORE;22946,000000;1,000000;SMP - Revisão das 1500 horas c/lub
ORE;22953,000000;1,000000;1ª Revisão das 250 horas c/lub
ORE;23091,000000;1,000000;Substituir tubo pre-cleaner
ORE;23099,000000;1,000000;Verificar antena do gps
ORE;23099,000000;3,000000;Verificar erro do motor
ORE;23099,000000;5,000000;Substituir elo de fecho do rasto direito
ORE;23099,000000;2,000000;Aplicar parafuso em falta numa cavilha do ripper
ORE;23099,000000;4,000000;Verificar parafuso do resguardo dos roletes do lado direito
ORE;23345,000000;1,000000;Reparar cilindro hidráulico do stick após acidente
ORE;23345,000000;1,000000;Reparar cilindro hidráulico do stick após acidente
ORE;23345,000000;1,000000;Reparar cilindro hidráulico do stick após acidente
ORE;23525,000000;2,000000;Taxa Desloc. Guarda
ORE;23525,000000;3,000000;Taxa Desloc. Guarda
ORE;23525,000000;1,000000;Verificar eventos na máquina E1025 E1050
ORE;23525,000000;1,000000;Verificar eventos na máquina E1025 E1050
ORE;23865,000000;2,000000;Taxa Desloc. Fagilde
ORE;23865,000000;1,000000;Analisar causa de deixar de ter andamento após aquecer
ORE;24159,000000;1,000000;Analisar causa de ter entrado em modo de segurança
ORE;24159,000000;1,000000;Analisar causa de ter entrado em modo de segurança
ORE;24210,000000;3,000000;Taxa Desloc. Vouzela
ORE;24210,000000;1,000000;Revisão tabelada das 500 horas c/lub
ORE;24210,000000;2,000000;Verificar/Eliminar folga das sapatas e lança extensivel
ORE;24323,000000;2,000000;Taxa Desloc. Tábua
ORE;24323,000000;1,000000;Analisar causa de estar a aquecer
